PL VL1 VL2 VL3
13 20266.4 6914.0 654666.3
14 999497.4 126068.8 84328.8
14 4432.1 447759.9 39099.9
14 53.5 59.8 318.4
14 5917.3 9.922436E7 8.185287E8
14 3841968.0 799253.4 1172366.0
14 23503.0 623058.4 766138.6
14 532531.5 7902.4 31815.9
14 308586.7 2944948.0 8471.0
14 NaN NaN NaN
14 9.3039917E8 1.7933248E7 4.9839896E7
14 NaN NaN NaN
14 32972.8 1145.9 5964.0
14 58478.4 2342.4 6158.0
14 17394.0 1109.7 2211.6
14 3.13147822E10 1.3299839E10 5.4513382E9
14 143376.9 9620.0 36607.5
14 35583.7 64678.3 599373.6
14 94507.6 4703.9 15636.8
14 26805.4 1661.0 6070.0
14 79730.0 2783.3 6636.3
14 677611.8 12404.6 29658.2
14 33719.2 2121.6 7174.2
14 1456.4 1135.2 4980.0
14 183832.1 203277.6 1357371.4
14 1236.4 2322.6 28089.0
